date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-08-01,24.9,18.6,32.5,7.9,,175,3.6,,1015.2,
2022-08-02,23.1,18,29,0,,87,5.2,,1017.5,
2022-08-03,24.9,16.5,32.1,0,,96,3.8,,1017.6,
2022-08-04,26.8,18,35,0,,131,3.8,,1016.1,
2022-08-05,26.9,19.1,37.6,0,,184,3.8,,1013.6,
2022-08-06,25,21.5,33,13.7,,23,5.8,,1015.8,
2022-08-07,23,18.8,26.5,0,,110,9.4,,1018.3,
2022-08-08,23.7,21.6,27.6,0,,97,8.5,,1018.8,
2022-08-09,23.6,18.5,30.2,0,,82,7.3,,1021,
2022-08-10,21.7,15.7,28.4,0,,55,8.2,,1021.4,
2022-08-11,22.7,14.3,29.6,0.6,,109,5.7,,1019,
2022-08-12,21.2,16.9,25.6,0,,46,6.7,,1016.9,
2022-08-13,17.1,14,21.2,4.2,,274,4.5,,1014.9,
2022-08-14,19.1,13.5,31,0,,198,4,,1010.3,
2022-08-15,22.6,15,32.4,0,,235,6.6,,1007.4,
2022-08-16,24.1,18,31.3,0,,223,4.5,,1010.2,
2022-08-17,24.1,17.3,32.4,0,,240,7.9,,1012.3,
2022-08-18,25.2,19.6,34.4,2.8,,267,4,,1011,
2022-08-19,21.8,17.7,26.5,9.6,,238,5.3,,1010.4,
2022-08-20,21.9,16.5,28.5,3.5,,139,4.3,,1012,
2022-08-21,20.7,16.9,27.9,0,,32,4.1,,1012.2,
2022-08-22,19.6,16.1,24,1.9,,125,4,,1011,
2022-08-23,19.4,16,25.5,0.3,,116,4.2,,1014.4,
2022-08-24,21.8,15.4,28.1,0,,92,5.3,,1016.9,
2022-08-25,24.2,18.8,29.7,0,,82,4.6,,1015.4,
2022-08-26,24.5,18.7,31.4,0,,41,4.5,,1012.1,
2022-08-27,22.4,18.3,29,0.1,,235,3.2,,1011.2,
2022-08-28,20.9,17,27.2,7.6,,223,3.3,,1014.1,
2022-08-29,22,18.9,27.1,0,,63,4.2,,1017.8,
2022-08-30,23.1,16.9,31,1.9,,85,3.5,,1018.2,
2022-08-31,19.9,17.9,23.1,7.9,,8,2.8,,1016.4,
2022-09-01,16.5,14.5,19.6,0,,125,7.1,,1016.6,
2022-09-02,17.4,12.6,23.5,0,,67,4.6,,1016.9,
2022-09-03,18.6,11.5,27.5,0,,173,3.2,,1016.5,
2022-09-04,20.3,13.6,29.2,0,,22,2.9,,1019.4,
2022-09-05,20.7,14.4,29,0,,120,3.1,,1022.6,
2022-09-06,23.1,15.7,31.2,0,,199,4.3,,1018.9,
2022-09-07,23.3,17.2,30,0,,254,4.9,,1015.9,
2022-09-08,18.8,16.8,23.3,13.3,,269,4.3,,1013.3,
2022-09-09,18.2,17.1,20.2,10.1,,44,5.1,,1014.1,
2022-09-10,16.8,14.3,25.5,3,,147,3.9,,1014.9,
2022-09-11,18.4,13,24.8,0,,242,3.1,,1015.9,
2022-09-12,18,10.8,26,0,,266,3.2,,1016.6,
2022-09-13,19.1,12,27.5,0,,235,6.9,,1013.9,
2022-09-14,22.3,19.2,26.7,0.3,,241,10.8,,1010.3,
2022-09-15,20.2,16.3,24,156.9,,262,5.6,,1007.4,
2022-09-16,14.8,12.5,17.5,94.9,,71,6.8,,1007.7,
2022-09-17,10.9,9.5,13.4,13.3,,80,3.2,,1009.3,
2022-09-18,12.4,7.3,20.2,0.2,,300,3.5,,1013.9,
2022-09-19,14.7,10.6,21.2,0,,6,4.3,,1013.8,
2022-09-20,13.9,6.4,21.2,0.4,,30,3,,1019.1,
2022-09-21,11.7,7,17.5,0,,54,3.7,,1023.4,
2022-09-22,11.1,4.7,18.2,0,,16,2.3,,1023.2,
2022-09-23,12.8,4.5,20.3,0,,281,3.9,,1021,
2022-09-24,12.7,7.3,16.5,3.1,,357,2.8,,1017.1,
2022-09-25,12.8,11.7,15,61.2,,351,3.5,,1013.1,
2022-09-26,13.6,11.8,16.7,11.3,,10,2.7,,1007.9,
2022-09-27,11.7,10.1,13.5,6.9,,357,2.8,,1002.2,
2022-09-28,11.5,8,14.5,17.4,,19,3,,1002.7,
2022-09-29,11.8,10.5,13.5,68.9,20,29,3.8,,1002,
2022-09-30,13.9,10.7,17.3,16.5,,10,2.6,,1009.8,
2022-10-01,15.2,13.5,19.6,0,,314,6.1,,1014.1,
